Avenged Sevenfold	Almost Easy
梶浦由記	prelude to Act 2
The Brand New Heavies	The Funk Is Back
Prince	Beautiful, Loved and Blessed
Big Wild	6's to 9's
Lena	Better
Smith & Thell	Hotel Walls
Meiko	Reasons to Love You
Nicole Millar	Wait
Мара	Почувствуй разницу
Apollo Brown	Balance Instrumental
Acoustic Alchemy	Drake's Drum
Little Big	Russian Huligans
Steel Pulse	Your House
Ultra vomit	La Ch'nille
鬼束ちひろ	Arrow of Pain
Husky	Dark Sea
Brooke Fraser	Deciphering Me
Lisa Loeb & Nine Stories	Do You Sleep?
Amanda Yang	Dusk Till Dawn
Dan Mangan	Hang With Me
Will to Power	I'm Not In Love
Chrisette Michele	If I Have My Way
Tina Turner	Look Me In The Heart
Luke Sital-Singh	Love is Hard Enough Without the Winter
Delta Goodrem	Magic
Lucius	My Heart Got Caught On Your Sleeve
SPYAIR	My World
Misty Miller	Next to You
Gordi	Nothing's As It Seems
Evan Call	One Last Message
Eleanor Friedberger	Open Season
Lara Fabian	Perfect
Tamara Todevska	Proud
Adna	Silent Shouts
Taylor Dayne	Up All Night
Sheryl Crow	Wildflower
Mariah Carey	You Don't Know What to Do
Air Supply	Young Love
Infant Annihilator	Three Bastards
Хлеб	Бамбалейла
L'Âme Immortelle	1000 Voices
Paralysed Age	Self Control
Shampoo	Don't Call Me Babe
GENTLE LOVE	Fallen Down
Bill Wurtz	Hallelujah
Dolly Spartans	I Hear The Dead
Maximum the Hormone	Kuso breakin nou breakin lily
The Megas	Melody from the Past
John Linnell	Montana
They Might Be Giants	The Big Big Whoredom
Voltaire	The Night
The Mighty Mighty Bosstones	This Time of Year
The Apples in Stereo	Told You Once
Guordan Banks	Keep You In Mind
Jonny Greenwood	Quartertone Bloom
Nicholas Britell	Requiem
Milky Chance	Rush
Roger Neill	The Politics of Orgasm
Turnover	Bloom
Makari	Dashboard
Void Of Vision	Hyperdaze
In Fear and Faith	Intro
Stolas	Metempsychosis
G-Eazy	Opportunity Cost
Red Handed Denial	Patronizer
Chelsea Grin	The Human Condition
Trophy Eyes	Tip Toe
Pil C	À La Carte
The Zutons	Confusion
Patrick Wolf	Demolition
The Zutons	Zuton Fever
Senar Senja	Dialog Hujan
Dialog Dini Hari	Hiduplah Hari Ini
The Angelic Process	Untitled
Mombojó	Adelaide
Arnaldo Antunes	Amanhã Só Amanhã
The Proper Ornaments	Bullet from a Gun
Dr. Dog	Can She Dance
Shannon Shaw	Coal On The Fire
Lonnie Holley	Copying the Rock
Bill Ryder-Jones	Daniel
Mark Lanegan	Dark Disco Jag
Jane Weaver	Did You See Butterflies?
The Dandy Warhols	Fred n Ginger
Fruit Bats	Good Will Come To You
Willie Nelson	It's Hard to Be Humble
Babeheaven	Jalisco
Skank	Let Me Try Again
The La's	Looking Glass
Michelle Gurevich	Memories of Three
Cold War Kids	Open Up The Heavens
Ventre	Peso Do Corpo
Lina Tullgren	Piano
Bill Ryder-Jones	Put It Down Before You Break It
Siba	Quem e Ninguém
Guided by Voices	Questions of the Test
Maglore	Se Você Fosse Minha
Any Other	Teenage
Cate le Bon	The Light
Princess Chelsea	The Pretty Ones
Eli Paperboy Reed	The Strangest Thing
Thao & The Get Down Stay Down	We Don't Call
Florrie	Real Love - Cahill Radio Mix
James	Dream Thrum
Bones	OKAY, BUT THIS IS THE LAST TIME
MK	One Night
Hi-Finesse	Dystopia
Steven Mcnair	GARAGE
Boy Epic	Scars
Milking the Goatmachine	Black Horn Sun
Venom	Black Xmas
Polluted Inheritance	Faces
The Merry Thoughts	Flow
Nile	Hall of Saurian Entombment
Desecresy	Infinite Halls
Acid Witch	Into the Cave
Kingdom of Sorrow	Lead the Ghosts Astray
Destructor	Overdose
Nervecell	Proxy War
Behemoth	Qadosh
Izegrim	Relic of the Past
Broken Hope	Swamped In Gore
Gehenna	The Conquering of Hirsir
Deströyer 666	The Sirens Call
Decomposed	Upheveal
Electric Wizard	Weird Tales
Unfound	Arrival
Skegss	Infinity
Lil Uzi Vert	Yessirskiii
Thyrane	Black Harmony
Mikko Joensuu	Drop me down
Armour	Heavy Metal Drinkers
Clandestine Blaze	I Have Seen...
Horna	Kun 1000 kuuta on kiertänyt
Irwin Goodman	Marcello Magaroni
Deathchain	March of the Thousand Legions
Eppu Normaali	Tihkumme Seksiä
Svart Crown	Living With The Enemy
Ulver	Norwegian Gothic
Progenie Terrestre Pura	Progenie Terrestre Pura
C R O W N	Serpents
EastNewSound	Siiro
Andrew Hulshult	Still Alive
Generationals	Beggars in the House of Plenty
Temples	Born into the Sunset
Kraftwerk	Computer Love - 3-D
Hotel Eden	Golden Sun
DBFC	Humdrum
Wild Belle	Hurricane
Le Tigre	I'm With Her
French 79	Je parle français
Tumi	Pills for Your Ills
Cosmo Sheldrake	Seals
Boogie Belgique	Taboo
Wild Belle	Untamed Heart
David Darling	Returning
Nocturnus	Arctic Crypt
Serpent Throne	Brother Lucifer
The Helix Nebula	Time Piece
Cruskin	My Soul To The Devil
Tantric	Regret
Title Fight	GMT
Wreck and Reference	Stranger, Fill This Hole In Me
HTRK	Synthetik
Impetuous Ritual	Abhorrent Paragon
Doom	After The Bomb
Diocletian	Antichrist Hammerfist
Abysmal Lord	Black Liturgy
Haemorrhage	Festerfeast
Perverted Ceremony	Nightmare Consecration
Dead Congregation	Perennial Blasphemous Affliction
Doom	Phobia For Change
Demilich	The Putrefying Road In The Nineteenth Extremity
Кукрыниксы	Вертикаль
A	Better Off With Him
nigel stanford	Deep Space
Summoning	And Wonder Walks the Forest Eaves
Sol Invictus	FOOLS SHIP
Burzum	Forgotten Realms
The Rolling Stones	Good Times, Bad Times
The Yardbirds	Putty
Alien Sex Fiend	Spies
Ildjarn-Nidhogg	Svarte hjerter
Коммунизм	Ленин не умер
Pau Vallvé	All is full of love
Diomedes Díaz	Amarte Mas No Pude
Chaka Demus & Pliers	Bam Bam
Sports Team	Camel Crew
Little Wings	Gold Teeth
Rubén González	La Engañadora
EVE 6	Arch Drive Goodbye
Neal Acree	Monk
Rivers Cuomo	Ooh
Kill Lincoln	Second Cities
Dhafer Youssef	Al Wadood
Modre Hory	Beat Generation
Astronautalis	Interbellum
Buty	Malinkého ptáčka
The Kristet Utseende	Arunachala
The Locust	AOTKPTA
Birds in Row	Ace of Fools
Ameer Vann	Emmanuel
Swain	It's Hard To Make Friends
Verse	Let It All Rust
Choking Victim	Praise to the Sinners
Dub Trio	Regression Line
Quicksand	Simpleton
American Nightmare	Since Always
Modern Life Is War	Stagger Lee
Youth Funeral	When It Pours
Landfill Crew	Youth Revolt
Rendy Pandugo	7 DAYS
RADWIMPS	Date
she's not real	The Way I Could
Technicolor Skies	Thief
EA Games Soundtrack	Uncharted Worlds
Giorgia	Gocce di memoria
Tinashe	Indigo Child
Sims	Spinning Away
Petula Clark	The Windmills of your Mind
Tame Impala	Feels Like We Only Go Backward
Strawberry Runners	Hatcher Creek
Little Dragon	Should I
Zoé	Sombras
EarthGang	Bill Campbell's Soup
Ledisi	Gonna Be Alright
DJ Jazzy Jeff	My Peoples - Instrumental
Pendragon	Empathy
Donald Byrd	I Feel Like Loving You Today
Hiromi	Suite Escapism: Reality
Marillion	The Last Straw / Happy Ending
Meditação e Espiritualidade Musica Academia	Jardim Zen
O Terno	O Cinza
Oswaldo Montenegro	Tocando em Frente
80s Stallone	Beach - L'Equipe Du Son Remix
Plaid	3recurring
Blue Sky Black Death	On A Bitch
Celestial Aeon Project	The Journey Begins
Atmosphere	Can't Break
Royal Blood	Hole
The Empire Shall Fall	The Kingdom
Ludovico Einaudi	Calore
Tori Kelly	Coffee
Celine Cairo	Hello Love
Alexisonfire	Thrones
Mendez	Everyday
Scatman John	Take Your Time
Billy Ocean	Are You Ready
The Stylistics	Can't Give You Anything
George Harrison	Got My Mind Set On You - 2004 Mix
Pink Floyd	In the Flesh - 2011 Remaster
Karpe Diem	Fly, Baba
Astrid S	Shattered
Revenge	Cleansing Siege
Nifelheim	Devil's Force
Incantation	Horns of eradication
Enslaved	I lenker til ragnarok
Grave Desecrator	Insult
Abscess	Pinworms
Macabre	Shotgun Peterson
On June	Sunrise
U.D.O.	Rose In The Desert
Infornal Fuckъ	Песнь о загубленной кукушке
Enrique Iglesias	Wish I Was Your Lover
Crippled Black Phoenix	Black Light Generator
Billy Ze Kick et Les Gamins En Folie	Mangez-Moi ! Mangez-Moi ! - Ragga Mix
Showtek	Cannonball
Fedde Le Grand	Keep On Believing
I/O	Bait & Switch
Ladytron	White Gold
Ahmad Jamal	Old Devil Moon
Andromeda	Day of the Change
Budgie	In for the Kill
Robert Parker	Eight Hour Drive
Take That	Happy Now
Illnath	Sought By The Fallen One
Illnath	Third Act
Sungrazer	Wild Goose
Dopelord	Rise! Undying!
Clutch	Steve Doocy
Tennyson	For You
Richard Spaven	Rescue
The Odious Construct	Shrine of the Obscene
Vredehammer	Skinwalker
Deadsoul Tribe	Time
Function	Disaffected
Sango	É Isso Aí
Fat Jon	Sunrain
Kiasmos	Walled
Lana Del Rey	Jump
André Hazes	Kleine Jongen
Buffalo Fuzz	Ain't Seen a Cent
Slothrust	Cubicle
Charlie Puth	Mother
PNL	Celsius
R.L. Burnside	Chain Of Fools
Odezenne	Des chapeaux dans des lapins
Zomby	Entropy Sketch
Clara Nunes	Jogo De Angola
Paco de Lucía	La Nina de Puerta Oscura
Philip Glass	Mishima/Closing
Yves Montand	Pour faire le portrait d'un oiseau
Outlines	Waiting in Line
Red Hot Viper	Gabardino
Blockhead	Hack - Instrumental
Sandy Denny	It'll Take A Long Time
Sofa Surfers	Long Bone
Marvin Gaye	Praise
Moon Tooth	Vesuvius II
Charles Gounod	Ave Maria
Little May	Girl
Mnaga A Zdorp	I cesta muze byt cil
The Bamboos	King of the Rodeo
Frank Sinatra	Ol' Man River
Charlie Francis	Twinkle Twinkle Little Star
David Bowie	Win - 2016 Remaster
Denis Kenzo	After Dark
Barbatuques	Baiana
Skold	Love Is Like
Sheku Kanneh-Mason	No Woman, No Cry
Леонид Агутин	Аэропорты
Секрет	Моя любовь на пятом этаже
Atrium Carceri	At the End of Time
Ametsub	2 Cats
Fear of Men	Alta
Mystic Braves	Coyote Blood
Eevil Stöö	Intro
Thelonious Monk	Bye-Ya
Van Morrison	T.B. Sheets
Wire	106 Beats That - 2006 Remastered Version
Low	Don't Understand
Tetsu Inoue	Holy Dance
Mission of Burma	Learn How
The Kinks	Plastic Man - Mono Mix
Early Day Miners	Townes
Clear Horizon	Watching The Sea
Captain Beefheart & The Magic Band	Yellow Brick Road
Chicane	Bruised Water - Michael Woods Edit
Angels & Agony	Circles
Underworld	Dark & Long - Hall's Edit / Remastered
Lighthouse Family	Live Again
heimlich	Otherside - Original Edit
Eric Nam	Perhaps Love
Majik	X
Circus Maximus	Imperial Destruction
Hashshashin	Derge
Dvne	Rite Of Seven Mournings
Antaeus	Sanctus
From the Vastland	Wizarsh
Lee Ranaldo	Circular
Cosmen Adelaida	Contra la Pared
Throwing Muses	Hook In Her Head
Marie Davidson	La chambre intérieure
Boredoms	OK
Bill Callahan	Young Icarus
Pavlov's Dog	Song Dance
平沢進	BERSERK-forces
Miranda Sex Garden	Feed
Claude-Michel Schönberg	Lovely Ladies
Free Kitten	Royal Flush
Darren Smith & Terrance Zdunich	Seventeen
The Automatic	You Shout You Shout You Shout You Shout
Gil Scott-Heron & Brian Jackson	Johannesburg
Bäddat för trubbel	Om det inte vore för spriten
Gents	Own Little World
Mike Brant	Qui saura
J.J. Cale	Ridin Home
The Flying Burrito Brothers	Sin City
Pathfinder	The Mystery
The Flashbulb	Arrival To An Empty Room
Sounds of Nature Relaxation	In the Swamp at Night with Frogs and Insects for Deep Meditation and Self Awareness
Wave Sound Group	Peaceful Beach
The Faceless	Planetary Duality II: A Prophecies Fruition
$uicideboy$	TONY HAWK PRO SKATER 4
Crewel Intentions	Youth in Overload
Indochine	Black City Parade
Buena Vista Social Club	Buena Vista Social Club
Faith No More	Evidence - 2016 Remaster
Indochine	Karma Girls
Lily Allen	Womanizer - Acoustic
John Williams	Flight From Peru
Alan Silvestri	Gotta Get Out
Johann Sebastian Bach	Ich ruf' zu dir, Herr Jesu Christ, BWV 639
Big Bad Voodoo Daddy	Is You Is, Or Is You Ain't My Baby?
Alcatrazz	Jet to Jet
BBC Scottish Symphony Orchestra	Mary Queen Of Scots
Uli Jon Roth	Prelude In Space Minor
Jason Becker	Purple Chewable Fern
Iron Maiden	Starblind - 2015 Remaster
Carl Philipp Emanuel Bach	Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto
Antonio Vivaldi	Violin Concerto in A Minor, Op. 4, No. 4, RV 357: Largo
DJ Lycox	Domingo Abençoado
Jhené Aiko	Bed Peace
Æther Realm	Death
Straight Line Stitch	Faceless And Inhuman
Equilibrium	Katharsis - Instrumental
Blind Guardian	Somewhere Far Beyond - Remastered 2007
Mc Nando	Garupa 2
Shawn Mendes	Memories
The Treblemakers	Trebles Finals: Bright Lights Bigger City/Magic
Coil	4-Indolol,3
Eyehategod	Corruption Scheme
Junior Kimbrough	Old Black Mattie
Steve Gunn	Old Strange
Ramleh	The Tower
John Congleton and the Nighty Nite	Who Could Love You Lucille?
Pelari	Cango
Paenda	Limits
Miljoonasade	Radio Luxembourg
Novaspace	Time After Time
Andy Moor	YearZero
Fish	13th Star
Marillion	Cannibal Surf Babe
Steve Hackett	Cell 151
Chrissie Hynde	Dark Sunglasses
Anderson Bruford Wakeman Howe	Fist of Fire
Philip Bailey	Go
Deep Purple	Highball Shooter
Sinéad O'Connor	James Brown
Al Jarreau	Let's Pretend
Sting	Next To You
Adrian Belew	Obsession
Anderson Bruford Wakeman Howe	Order Of The Universe
Bruford	Palewell Park
Roger Taylor	Racing in the Street
Camel	Rain Dances
Lee Ritenour	River Man
Whitesnake	Straight for the Heart
Chris Rea	Two Lost Souls
David Lynch	untitled
Modern Talking	10 Seconds To Countdown
凛として時雨	Missing ling
凛として時雨	replica
Penelope Trappes	Nite Hive
Blutengel	Silent Tears
平沢進	Code-Costarica
Trans-Siberian Orchestra	Für Elise
Mike Oldfield	Out of Mind
Subterranean Masquerade	Space Oddity
The 3rd and the Mortal	The Meadow
The Meters	(Doodle Loop) The World Is A Little Bit Under The Weather
Marvin Pontiac	Arms & Legs
Rowland S. Howard	Autoluminescent
These Immortal Souls	Black Milk
Serge Gainsbourg	Docteur Jekyll et Monsieur Hyde
Paul Kelly	Firewood And Candles
Cat Power	Headlights
The Coathangers	I Wait
Enon	In This City
Melvins	In the Freaktose the Bugs are Dying
Max Richter	Into The Camps
Allah-Las	Lady Rachel
Marvin Pontiac	Little Banjo
Josh Pyke	Middle Of The Hill
Shocking Blue	Navajo Tears
Blue Sky Black Death	The Dead Tree Gives No Shelter
Arab Strap	The Devil-Tips
Nick Cave & Warren Ellis	The Proposition #2
Russell Morris	The Real Thing
Screamin' Jay Hawkins	You Made Me Love You
Max Richter	if you came this way - Pt. 3
Susheela Raman	Love Trap
RM Hubbert	I Can Hold You Back
Étienne de Crécy	Am I Wrong
Joe Goddard	Bumps
Machinedrum	Diepure
Gang of Four	One True Friend
Kraak & Smaak	Same Blood
Jamie Woon	Sharpness - Mr Beatnick Remix
Kaleidoscopio	Voce Me Apareceu
Blaqk Audio	Black at the Center
Def Leppard	Run Riot
7 Angels 7 Plagues	Away with Words
death's dynamic shroud	CD Player IV
Stove	Duckling Fantasy
Disembodied	Gone
Two Knights	I'm Your Dad And You're My Dad
Porches	Intimate
Antwon	Metro Nome
Horse Jumper of Love	NATURE
Guided by Voices	Redmen And Their Wives
Tear da Club Up Thugs	Slob on My Nob
(Sandy) Alex G	Station
Riff Raff	Team on My Back
The Pastels	Zooom
Purrple Cat	Alone Time
Afterhours	Ballata Per La Mia Piccola Iena
Marta Sui Tubi	Cinestetica
Roman Messer feat. Christina Novelli	Frozen
TheFatRat ft. Laura Brehm	The Calling
Brooklyn Bounce	The Dawn
E-Rotic	Wild and Strong
Current Value	Deadly Algorythm
Angelic	It's My Turn
Alexander Brandon	Lock
Fanu	My Beautiful Paranoia
Enduser	On Point
S.P.Y	Seconds To Midnight
Total Eclipse	Aliens
Indra	Claudius Maximus
Man With No Name	Floor-Essence
Emperor	Half Makes Whole
Kaminanda	Liminal Zone
Shulman	New Paradigm
Upon a Burning Body	Reinventing Hatred
Agressor Bunx	Tornado
Schandmaul	Blechpfeiferl
Aimi	We're the stars
Gotthard	Where Is Love When It's Gone
浜崎あゆみ	progress
Red Velvet	Attaboy
Red Velvet	Perfect 10
f(x)	라차타
f(x)	빙그르
Bad Sector	Exit A
Peter, Paul & Mary	Sorrow
TriORE	The Missing Hour
Stigmata	Небо
Amon Amarth	Balls To The Wall
San Cisco	Skin
Swans	(—)
Panic Room	Apocalypstick
Infinity Ink	Infinity
Murray Gold	A Good Man?
Alice in Chains	Bleed The Freak
Segun Akinola	Doctor Who Series 11 Opening Titles
Source	Forgiveness
Chicago	Hard to Say I'm Sorry
Haustor	Mijenjam se
Grinspoon	Post Enebriated Anxiety
Murray Gold	Signora Rosanna Calvierri
Daler Mehndi	Bolo Ta Ra Ra
Toy	Fast Silver
Agents	Jykevää on rakkaus
Jukka Nousiainen	Köyhät kyykkyyn
Fanfare Ciocărlia	Manea cu voca
Yan Wagner	On her knees
Einstürzende Neubauten	Querulanten
Puhelinseksi	Tahdot rakastuu
Hassisen Kone	Uhrisavua
Computer Magic	ZUMA
Secret Garden	Duo
Bill Fay	The Room
Gilberto Gil	Esotérico
Porcupine Tree	Halo - Live
Phace	Introduktion
Trent Reznor	Like Home
Black Rebel Motorcycle Club	Shuffle Your Feet - Live
Ben Frost	Through the Glass of the Roof
Ki:Theory	Used To Like You
Frank Sinatra	Please Be Kind
Joy Division	Dead Souls - The Factory, Manchester Live 11 April 1980
György Kurtág	Gottes Zeit ist die allerbeste Zeit, BWV 106
Ratking	Take
Florrie	Call 911
Lady Sovereign	Ch Ching
The Black Ghosts	I Want Nothing
Chicks On Speed	Mind Your Own Business
daKooka	Обман
Tilian	Dreaming
Cynic	Pleading for Preservation
Jonny Craig	The Upgrade
Airways	White Noise Boys
Close Talker	All of Us
Charli XCX	Boom Clap - Aeroplane Remix
EDX	Breathin' - Radio Mix
The New Pornographers	Broken Breads
Capsule	FRUITS CLiPPER
3TM	Five New Dukes
Daniel Kandi	Freedom
Charles Fauna	Hypnosis
Computer Magic	Lonely Like We Are
Goldmyth	Lover's Letdown
Mickey Valen	Meet Me
Djerem	Never Look Back - Twenty Feet Down Remix
I Don't Like Mondays.	ONE THING
Darkdark	Restless
Throttle	September - Throttle x Earth, Wind & Fire
Murat Uncuoğlu	Silent Light - Original Mix
Adam Pacione	Sodium Lit
Pang!	Touch - Original Mix
Pillar Point	Underground
Official HIGE DANdism	Yesterday
Yorushika	パレード
Perfume	再生
Machinae Supremacy	Meanwhile In The Hall Of Shadows
Łona i Webber	My Się Znamy???
Televisor	Pinup
Borgne	Fall of the Lost Souls
Light Of The Morning Star	Lord of All Graves
Svartidauði	Sol Ascending
Doom:VS	The Crawling Insects
David Gray	Gulls
I Am Giant	Bought With Ignorance. Sold With Arrogance
Charles Hart	I Remember .../Stranger Than You Dream It ...
Lunatica	Into the Dissonance
Deep Purple	Lazy - Live In Tokyo, Japan / 17th August 1972 / 2014 Remaster
Leo	All That She Wants - Metal Version
To the Rats and Wolves	Blvckout
Generation X	Dancing With Myself - EP Version;2001 Digital Remaster
Eisenpimmel	Huka-Tschaka Töff Töff
Medimeister Mainz	Medicopter Mainz17
Klamydia	Pienen pojan elämää
Fahnenflucht	Realität
Oidorno	Sieh's mal Oi!
Friska Viljor	Wohlwill
Company Flow	Bee Aware
Mice Parade	Circle 1
Hans Zimmer	Maestro
Thin Lizzy	Johnny The Fox Meets Jimmy The Weed - live
Queen	Let Me Entertain You - Live At The Montreal Forum / November 1981
Armory	The Search
Mr Cool	Tjejer e som tjejer e
Giorgio Tuma	Through Your Hands Love Can Shine
J Balvin	Tu Verdad
FlyByNo	Io Bells
Millenia Nova	I´m dead
Switchfoot	All or Nothing at All
Jonas Brothers	Burnin' Up
The Fray	Fall Away
Kevin Max	Her Game
Trip Lee	Manolo
Ozuna	Me Dijeron
Lecrae	The Drop
Icona Pop	Top Rated
KB	Undefeated
$uicideboy$	Chevrolet - Pimpalicious Candy Cane Mane '74 REMIX
The Safety Fire	Mouth Of Swords
Blood on the Dance Floor	Sexting Remix
DVBBS	Wicked Ways
Peter Gabriel	Animal Nation
Prince	Beginning Endlessly
Mystery Jets	Flakes
Kelela	Floor Show
Yeasayer	Henrietta
Grimes	IDORU
Young Juvenile Youth	In Blue
소녀시대	Love & Girls
The Courteeners	Modern Love
Depeche Mode	Now This Is Fun
Loreen	Paper Light
David Bowie	Real Cool World
Prince	Scarlet Pussy
Paul McCartney	Take It Away
Morrissey	The Bed Took Fire
Liima	You Stayed in Touch with the Wrong Guy
Olivier Deriviere	Adulthood
International Teachers of Pop	Age of the Train
Mr Dooves	Bill Nye the Science Guy
Obojeni program	Kad se neko nečem dobrom nada
Daniel Olsén	Night Drift
Bleached	Silly Girl
Late	Losing You
Hollywood Burns	Carnal Encounters Of The Third Kind
Irving Force	Crime Scanner
Speed Machine	Mechanized Dystopia
tonebox	Refractor
iamalex	Changed
Wildcookie	Piece of Mind
Desmond Cheese	Squidly
Sparks	A Walk Down Memory Lane
Demotional	Illusions
Timebelle	Apollo - Eurovision Version
Suzy	Quero Ser Tua
Jamey Johnson	In Color
Newton Faulkner	Longshot
Rodney Carrington	Show Them To Me
Jared Leto	City of Angels
Rita Ora	R.I.P.
Sandro Cavazza	Used To
50 Cent	"Wanksta - From ""8 Mile"" Soundtrack"
Chthonic	Souls of the Revolution
Sylosis	The Bereaved
Echosmith	Come With Me
Sarah Blasko	I Awake
ASC	Half The Words You Say
ASC	Satellite's Final Voyage
The Hardkiss	Complicity
Ronnie Dio	Love Is All
Beastie Boys	Johnny Ryall - 2009 Digital Remaster
Delegation	Put a Little Love On Me
Lyrics Born	Do That There - Young Einstein Hoo-Hoo Mix
Jurassic 5	Gotta Understand
Speedometer	Happy
Benny Tones	Home
Jalen N'Gonda	I Need You
Illya Kuryaki And The Valderramas	Jaguar House
Snoop Dogg	Lay Low
Faustir	Melancholy Mood
Kartell	Pantera
Jurassic 5	Quality Contro lntro
Louis Baker	So Lo
The Allergies	Sound Advice
N*E*R*D	Victory
Smokey Robinson	Why You Wanna See My Bad Side
Brika	You
Emerson, Lake & Palmer	Brain Salad Surgery
Carl Orff	"Carmina Burana / 3. Cour d'amours: ""Circa mea pectora"""
